customer_id,age,tenure_months,monthly_cost,support_tickets,login_frequency,feature_usage_score,satisfaction_score,monthly_contract,premium_member,churn
1,62,48,22.59961179056755,3,21,61,4,0,1,0
2,71,41,34.979719245137915,5,14,98,7,1,0,0
3,17,4,23.967497075332048,3,20,46,2,0,1,0
4,66,89,44.13124866007817,3,18,19,3,1,1,0
5,25,91,19.113885043073306,2,23,60,4,1,0,0
6,74,44,21.33740299127564,4,25,99,4,1,0,1
7,71,28,28.73727117341872,2,25,3,3,0,0,0
8,71,102,1.9252586354576806,1,27,72,7,1,0,0
9,73,119,19.7771631223549,4,11,9,10,1,0,0
10,52,99,28.90791885615796,2,13,32,1,0,1,0
11,66,111,24.97341471424611,4,17,6,4,1,1,0
12,60,71,32.22858465651602,1,19,94,1,0,1,0
13,54,38,26.41452938824654,2,31,25,9,0,1,0
14,68,90,24.223880533085932,2,28,36,4,1,0,0
15,19,89,22.35568726012153,3,17,92,7,1,0,0
16,16,35,20.747244189265942,1,20,6,4,1,1,1
17,71,108,33.37280138750023,1,19,23,9,1,1,0
18,37,56,31.334617319921332,3,22,96,1,0,1,0
19,37,15,21.42708096063705,1,13,9,10,1,0,0
20,54,65,30.31098829736753,4,26,27,7,1,0,0
21,72,58,27.46687523862758,3,23,28,3,1,0,1
22,82,41,13.96957769350582,0,30,52,3,0,1,0
23,62,97,38.61147780065427,3,26,79,3,0,0,0
24,46,105,37.711508191233015,0,25,20,9,1,0,0
25,24,16,38.3942625419063,3,19,86,9,1,1,0
26,65,107,24.64517515120086,4,21,84,2,0,1,1
27,82,4,5.5862482824959905,3,15,6,9,1,1,1
28,74,18,44.966836942066955,1,19,1,1,1,0,1
29,48,113,22.42854864302072,2,17,92,5,1,1,0
30,56,105,19.923526059555726,0,15,18,9,1,0,0
31,58,33,36.822616692372996,1,19,54,1,1,0,1
32,61,53,26.76821729372861,2,22,92,5,1,1,0
33,49,34,22.236062628677747,1,28,50,2,1,0,0
34,48,57,24.798629988204077,1,26,62,10,0,0,0
35,44,63,13.739906332799357,3,22,11,1,1,0,0
36,19,55,5.2166920925139415,3,17,72,6,1,0,0
37,73,12,0.4137546478735388,2,19,52,4,1,1,1
38,66,108,31.751800108514097,1,28,18,4,1,0,0
39,33,89,23.328320727970524,1,25,73,2,1,1,0
40,75,97,38.94143562957504,1,23,8,6,1,0,0
41,64,37,25.93765078015828,1,28,44,7,1,0,0
42,39,119,36.651596991872246,1,28,9,8,0,1,0
43,38,1,35.79029904730935,5,13,58,2,1,0,0
44,83,35,40.95327257540055,2,31,38,7,1,1,0
45,78,43,10.077761666423504,1,16,58,6,1,0,0
46,78,57,27.066563291610343,0,26,19,8,1,1,0
47,39,11,12.290518605621097,2,27,2,5,1,0,0
48,72,93,40.53811424451488,1,16,62,5,1,0,0
49,71,5,23.582090241277477,3,21,74,6,1,1,1
50,69,94,17.75085051235693,3,22,81,7,1,1,0
51,52,59,47.95092693043332,1,17,33,8,0,0,0
52,75,103,25.459779786265642,1,21,88,10,0,1,0
53,67,10,19.664133753007704,3,17,46,2,0,0,0
54,24,29,27.850140597957132,4,18,70,6,1,0,0
55,53,77,20.24157850673793,1,12,55,9,1,1,0
56,75,66,34.64636021537922,0,23,8,8,1,1,0
57,70,66,30.286418320265213,2,22,20,1,0,0,1
58,46,104,29.273894465204783,2,21,66,8,0,0,0
59,20,114,20.602714895342686,2,24,37,6,1,1,0
60,70,104,30.38824712897007,2,19,47,9,1,1,0
61,24,30,23.445141949034603,1,23,28,4,1,0,0
62,47,61,42.225117518818294,0,16,90,8,0,0,0
63,56,50,22.813086652799903,1,21,70,5,0,0,0
64,33,103,35.42182578508095,3,18,20,10,1,0,0
65,25,68,37.0258942430763,1,21,72,2,1,1,0
66,69,67,7.768839445694134,4,19,6,8,0,0,0
67,84,63,19.71613893046072,2,29,27,10,1,1,0
68,78,112,22.38986793844635,0,20,63,1,1,0,0
69,75,97,40.151125784557316,2,25,73,3,1,0,0
70,19,51,7.31549510474515,1,19,19,3,0,0,0
71,20,45,23.79019365620326,1,21,10,5,1,0,0
72,55,19,15.803115416747012,1,17,10,5,0,1,0
73,70,2,17.72805222385647,1,13,16,4,1,1,0
74,56,31,36.93918271461106,4,21,61,6,1,1,1
75,83,119,43.4690645739867,1,14,74,2,1,0,0
76,69,101,26.59302790225435,1,18,41,10,1,0,0
77,38,67,28.911175984416534,1,26,65,6,0,0,0
78,33,69,37.19125095262386,3,24,74,6,1,0,0
79,43,4,40.48158450905653,4,14,46,10,0,1,0
80,76,72,17.27739154493625,1,22,28,10,1,1,0
81,59,79,30.379427958920044,6,24,48,8,1,1,1
82,31,96,17.057480362227608,2,19,67,8,0,1,0
83,29,91,26.889138315507868,3,20,37,4,1,1,0
84,16,39,19.457669167450426,4,22,1,8,1,0,0
85,26,92,22.354625646248344,1,15,47,4,1,0,0
86,23,52,31.655201270530572,3,17,8,7,1,0,0
87,79,20,22.575926208476638,3,19,38,9,0,1,0
88,75,111,42.44748745556834,3,18,55,7,0,1,0
89,68,30,32.322912883001386,1,24,84,5,1,0,1
90,68,113,32.440140080729925,2,22,14,5,1,0,0
91,80,3,27.98635671032774,1,13,69,2,0,1,1
92,62,98,15.679176605115211,2,16,34,4,0,0,0
93,58,25,31.859259733399725,1,18,13,3,0,1,0
94,65,92,36.62875609116948,2,22,15,2,1,1,0
95,47,47,27.635836031493234,0,20,1,8,0,1,0
96,51,57,17.414165573260536,4,20,97,4,0,0,0
97,46,56,10.808553821079673,3,27,58,6,1,0,0
98,81,45,35.65093000193051,1,23,99,10,0,1,0
99,19,40,22.926661796538276,1,21,42,5,0,0,0
100,36,89,48.285403451461455,0,22,26,8,1,0,0
101,23,32,15.346410485722753,1,30,93,3,1,0,0
102,67,91,31.29238075921979,1,21,94,7,1,0,0
103,26,30,37.34565909404729,4,20,38,3,1,1,0
104,57,92,18.794278987950648,3,16,16,1,0,1,0
105,31,42,34.55866248835967,0,26,41,5,1,0,1
106,57,16,20.712537723435034,0,19,48,8,1,1,0
107,19,57,6.471703149748354,2,25,9,8,1,1,0
108,39,2,23.39406788888688,3,23,89,5,0,0,0
109,23,80,35.01228882957592,2,21,77,1,1,1,0
110,68,7,33.060170466373975,1,19,8,6,0,0,0
111,44,93,23.551551601597808,1,24,62,8,0,0,0
112,80,80,5.681267482830979,4,23,5,6,1,0,0
113,53,25,20.592168350664537,3,28,80,8,1,1,0
114,48,93,25.859498975297242,1,22,15,10,1,0,1
115,41,37,24.630752046997053,4,22,37,3,0,0,0
116,53,25,28.488185266317323,1,24,1,1,1,1,0
117,21,31,33.85365481131431,1,18,93,8,1,0,0
118,40,1,14.924427012263346,0,22,11,8,0,1,0
119,45,97,7.45295887422019,2,18,81,2,1,1,1
120,52,22,31.765182244337154,3,28,97,7,0,1,0
121,77,30,24.432076924611838,1,23,82,3,0,0,1
122,18,13,32.145767920014706,3,19,48,1,0,0,1
123,35,83,14.619551625017335,3,21,97,8,0,0,0
124,38,42,24.48361865609781,4,23,92,9,1,0,0
125,44,64,37.504020801779845,1,14,99,3,1,1,0
126,32,116,19.110494708843646,0,19,74,3,1,0,0
127,67,107,28.977914154819445,2,15,5,3,1,1,0
128,43,85,18.188462814906824,1,19,94,1,1,1,0
129,56,46,37.99316984339328,1,22,7,6,1,1,0
130,54,28,19.858584775617782,2,33,14,3,1,1,0
131,67,41,39.20486446192474,3,18,23,5,1,0,1
132,78,24,43.10673371723919,2,23,35,8,1,0,0
133,23,93,15.634483896618317,2,21,27,8,1,0,0
134,43,74,36.2964440184799,1,11,43,5,1,0,0
135,65,22,18.655240500734028,3,26,91,4,0,0,0
136,20,9,38.7096890462416,3,23,45,2,1,1,0
137,19,90,48.40738945323542,3,17,96,9,1,0,0
138,28,31,33.35744023656054,2,25,96,7,1,1,0
139,42,8,33.771100650512295,0,23,65,9,1,1,1
140,73,35,42.28882773821299,2,19,39,6,1,0,0
141,51,44,26.436292027075673,2,23,37,4,1,0,0
142,66,112,19.541544346699023,0,20,59,2,1,0,0
143,31,8,4.086776815452893,2,19,88,8,1,0,0
144,51,78,5.274599437696239,2,35,90,6,1,1,0
145,50,113,15.62121834543132,2,24,60,7,0,1,0
146,44,5,38.142762065449325,5,20,68,9,1,1,0
147,69,59,33.06456831701046,4,19,1,3,1,1,0
148,18,100,30.06443025577227,1,23,85,4,0,1,0
149,39,84,19.846312183194343,1,18,91,2,1,0,0
150,37,93,18.261476750466077,2,15,35,10,1,1,0
151,53,12,14.787872956067218,1,22,28,10,1,1,0
152,24,17,13.492133267498623,2,19,4,9,0,1,0
153,78,102,48.280807183357,2,17,95,6,1,0,0
154,60,29,12.157283095405129,2,18,38,4,1,1,0
155,45,71,38.006429357766656,2,24,22,9,1,1,0
156,69,116,33.86742793837284,2,21,94,8,1,0,0
157,36,115,37.045116818751836,1,17,44,5,1,1,0
158,70,93,32.28145139065697,2,16,38,3,0,1,0
159,82,50,38.711032309984446,3,17,29,6,1,0,0
160,81,87,22.869968682096037,3,23,89,10,1,0,0
161,35,111,13.317428620173304,0,29,3,7,0,0,0
162,71,65,20.46805733038333,1,18,62,2,1,1,0
163,36,60,22.253967725505465,2,23,25,6,1,0,0
164,64,5,21.113359292538302,2,16,31,1,0,1,0
165,39,117,39.39271570467412,1,26,56,3,1,0,1
166,35,88,33.28707665999689,3,21,75,3,1,1,1
167,56,48,21.06770187974651,2,26,27,9,0,0,0
168,65,15,6.680121085075768,2,11,39,2,1,1,0
169,53,10,1.5650206537683466,3,20,7,10,1,0,0
170,20,89,5.50653087468525,1,22,2,3,1,0,1
171,35,30,15.016964877813141,2,16,37,9,0,1,0
172,73,66,30.274767276182487,3,33,20,6,1,1,0
173,31,47,31.007399069269624,3,20,19,4,1,0,0
174,53,11,23.10147279147993,2,24,60,9,1,0,0
175,46,12,30.072496290109285,2,24,69,9,0,0,0
176,70,69,39.636337583383686,3,14,21,4,0,0,1
177,70,25,17.689651681301513,5,25,94,2,1,1,1
178,45,79,31.36612495672454,3,27,66,10,0,1,0
179,53,3,9.219624724677418,0,21,35,6,1,1,1
180,45,92,23.66686408719366,4,25,20,3,1,1,1
181,18,50,13.586254824514508,1,16,15,6,1,0,1
182,44,114,38.65620682590384,2,28,4,9,1,0,0
183,21,112,29.896067690307873,1,17,37,4,1,1,0
184,24,55,41.60552876257087,2,14,89,3,1,0,0
185,58,51,10.791393912221976,1,21,47,6,0,1,0
186,57,66,23.37234101534426,1,21,60,2,0,1,1
187,73,111,27.815285980649108,2,25,32,7,0,0,0
188,32,76,23.797148751249896,2,21,37,5,1,0,0
189,35,97,25.913625526324086,3,15,81,3,0,0,0
190,23,114,32.163780219004636,3,25,9,3,0,1,0
191,64,10,16.155213557120263,0,16,19,6,1,0,0
192,36,47,27.263037843568206,1,17,86,4,0,1,0
193,55,96,18.728613263146755,3,26,95,7,1,1,0
194,33,95,34.145293414351585,4,15,96,4,0,1,0
195,83,28,19.948355494452734,4,16,37,1,1,1,1
196,64,52,13.540355000953276,5,18,8,3,1,0,1
197,55,6,27.10550322276553,3,14,45,8,1,1,0
198,75,54,16.806528796874055,0,30,45,9,0,0,0
199,46,35,15.551416995162043,1,21,51,8,1,0,0
200,81,32,10.175925170477802,2,19,54,5,1,0,0
201,47,60,19.01231920133562,1,15,73,5,1,1,1
202,44,119,35.24468519998847,3,26,34,4,0,1,0
203,83,52,13.458240394093526,5,18,14,10,1,0,0
204,44,109,28.598735746940147,1,18,62,7,1,0,0
205,32,66,26.169380122999286,0,23,16,5,0,0,0
206,25,91,26.44925337758444,1,19,27,8,1,0,0
207,55,19,35.32409881783581,1,21,46,2,1,0,0
208,43,102,23.07183838300935,0,25,6,3,1,1,0
209,73,98,12.626420420186577,5,14,51,8,0,0,0
210,70,87,9.29758005808145,2,17,46,3,1,0,0
211,74,43,17.206578849321886,0,17,55,7,1,1,0
212,18,5,35.853400110785536,2,13,68,9,1,0,0
213,23,35,26.87082028421451,2,15,10,7,1,0,0
214,57,15,46.72227777648281,4,16,22,9,1,0,0
215,62,97,24.832465211494263,0,23,87,9,1,0,0
216,65,55,26.029005528455862,2,25,43,6,0,0,0
217,18,114,17.12797984075773,2,16,82,9,1,0,0
218,38,3,27.794957604664333,1,25,47,8,1,1,0
219,39,30,12.568488682913006,1,18,70,7,1,0,0
220,56,59,23.27141178862241,1,23,98,10,1,0,0
221,49,47,19.619729731620385,2,28,66,7,1,0,0
222,19,39,14.74938029153688,1,22,11,2,1,1,1
223,32,11,37.718101305919,2,20,46,2,1,0,0
224,54,20,18.217542647207896,3,16,68,4,1,0,0
225,61,25,33.76317441898665,1,22,30,1,0,0,0
226,16,87,28.700297490775636,2,12,17,9,1,1,0
227,37,110,33.145333023547366,3,26,29,3,1,1,0
228,35,61,21.754055566844958,2,20,14,10,1,0,0
229,37,80,18.580362661569406,1,27,43,4,0,1,0
230,44,80,19.574316433017856,2,28,40,6,1,0,0
231,26,17,24.014330127586785,1,25,92,9,1,0,0
232,47,2,35.43033307740224,0,23,74,8,1,1,0
233,57,7,28.09740119469642,3,18,62,10,0,0,0
234,28,115,20.290027835540542,0,25,30,4,1,0,0
235,81,58,38.14947359617213,1,21,41,9,1,0,0
236,76,50,26.145280759983166,0,25,21,10,1,0,0
237,25,3,24.244981097136403,3,24,11,10,1,0,0
238,26,11,27.811067840170875,2,20,17,4,1,0,1
239,79,1,31.38403184676311,1,18,21,5,1,1,0
240,74,73,31.11058985054389,1,26,5,3,1,0,1
241,44,58,23.264435688892355,1,26,40,1,0,0,0
242,57,72,26.19390947486138,3,21,34,3,0,0,0
243,17,104,34.7559726067405,3,28,86,1,1,0,1
244,59,7,30.197671206531602,5,20,10,1,1,0,1
245,70,86,9.572421630315684,5,21,76,10,1,0,0
246,43,18,22.594243545676832,0,8,99,10,1,0,0
247,64,114,19.932513771495202,2,15,52,9,1,0,0
248,34,51,43.287682790199824,5,8,80,7,1,0,0
249,72,79,-0.8017929416622422,5,21,97,8,1,0,0
250,28,68,21.57091014192279,2,24,9,1,1,1,0
251,32,109,21.425701179983218,1,17,3,3,1,1,0
252,58,16,30.19750608587891,4,21,75,10,1,0,0
